,0
1127,bear
1128,beard
1129,bearer
1130,bearing
1131,bears
1132,beast
1133,beat
1134,beaten
1135,beating
1136,beatles
1137,beats
1138,beautiful
1139,beauty
1140,beck
1141,bed
1142,bedroom
1143,beds
1144,bee
1145,beef
1146,beer
1147,befriended
1148,began
1149,begin
1150,beginning
1151,beginnings
1152,begins
1153,begun
1154,behalf
1155,behave
1156,behaved
1157,behavior
1158,behavioral
1159,behaviors
1160,behaviour
1161,behest
1162,beijing
1163,beings
1164,bel
1165,belarus
1166,belgian
1167,belgium
1168,belief
1169,beliefs
1170,believe
1171,believed
1172,believer
1173,believers
1174,believes
1175,believing
1176,bell
1177,belle
1178,bells
1179,belly
1180,belong
1181,belonged
1182,belonging
1183,belongs
1184,beloved
1185,belt
1186,belts
1187,ben
1188,bench
1189,bend
1190,beneath
1191,benedict
1192,beneficial
1193,benefit
1194,benefited
1195,benefiting
1196,benefits
1197,bengal
1198,bengali
1199,benign
1200,benjamin
1201,bennett
1202,benny
1203,bent
1204,berkeley
1205,berlin
1206,bernard
1207,berry
1208,bertrand
1209,besieged
1210,best
1211,bestowed
1212,bestseller
1213,bet
1214,beta
1215,betrayal
1216,betrayed
1217,better
1218,betty
1219,beverage
1220,beverages
1221,beverly
1222,beyonc
1223,bias
1224,biased
1225,bible
1226,biblical
1227,bibliography
1228,bicameral
1229,bicycle
1230,bicycles
1231,bid
1232,bidding
1233,big
1234,bigger
1235,biggest
1236,bike
1237,bilateral
1238,bilingual
1239,billboard
1240,billed
1241,billing
1242,billion
1243,billionaire
1244,billions
1245,bills
1246,billy
1247,bin
1248,binary
1249,bind
1250,binding
1251,binds
1252,bing
1253,bio
1254,biochemical
1255,biodiversity
1256,biographer
1257,biographers
1258,biographical
1259,biographies
1260,biography
1261,biological
1262,biologically
1263,biologist
1264,biology
1265,biomass
1266,biomedical
1267,biopic
1268,biosphere
1269,biotechnology
1270,bipolar
1271,birch
1272,bird
1273,birds
1274,birmingham
1275,birth
1276,birthday
1277,birthplace
1278,births
1279,bisexual
1280,bishop
1281,bishops
1282,bit
1283,bitch
1284,bite
1285,bites
1286,biting
1287,bits
1288,bitter
1289,bizarre
1290,black
1291,blacks
1292,bladder
1293,blade
1294,blades
1295,blair
1296,blake
1297,blame
1298,blamed
1299,blaming
1300,blank
1301,blast
1302,bleeding
1303,blend
1304,blended
1305,blending
1306,blessed
1307,blessing
1308,blind
1309,blindness
1310,bloc
1311,block
1312,blockade
1313,blockbuster
1314,blocked
1315,blocking
1316,blocks
1317,blog
1318,blogs
1319,blonde
1320,blood
1321,blooded
1322,bloodstream
1323,bloody
1324,bloom
1325,bloomberg
1326,blow
1327,blowing
1328,blown
1329,blows
1330,blu
1331,blue
1332,blues
1333,blunt
1334,blurred
1335,board
1336,boarded
1337,boarding
1338,boards
1339,boasted
1340,boasts
1341,boat
1342,boats
1343,bob
1344,bobby
1345,bodied
1346,bodies
1347,bodily
1348,body
1349,bodyguard
1350,boeing
1351,bohemian
1352,boiled
1353,boiling
1354,bold
1355,bolivia
1356,bollywood
1357,bolt
1358,bomb
1359,bombardment
1360,bombed
1361,bombers
1362,bombing
1363,bombings
1364,bombs
1365,bond
1366,bonded
1367,bonding
1368,bonds
1369,bone
1370,bones
1371,bonnie
1372,bonus
1373,book
1374,booked
1375,books
1376,boom
1377,boost
1378,boosted
1379,boot
1380,booth
1381,boots
1382,border
1383,bordered
1384,bordering
1385,borderline
1386,borders
1387,bore
1388,bored
1389,boris
1390,born
1391,borne
1392,borough
1393,borrow
1394,borrowed
1395,borrowing
1396,bosnia
1397,boss
1398,boston
1399,botanical
1400,bottle
1401,bottles
1402,bought
1403,boulevard
1404,bounce
1405,bound
1406,boundaries
1407,boundary
1408,bounded
1409,bounds
1410,bounty
1411,bourgeois
1412,bout
1413,bouts
1414,bow
1415,bowel
1416,bowie
1417,bowl
1418,bowling
1419,box
1420,boxer
1421,boxes
1422,boxing
1423,boy
1424,boycott
1425,boycotted
1426,boyfriend
1427,boyle
1428,boys
1429,brad
1430,bradley
1431,brain
1432,brains
1433,branch
1434,branched
1435,branches
1436,brand
1437,branded
1438,branding
1439,brandon
1440,brands
1441,brass
1442,brave
1443,bravery
1444,brawl
1445,brazil
1446,brazilian
1447,breach
1448,bread
1449,break
1450,breakdown
1451,breakfast
1452,breaking
1453,breakout
1454,breaks
1455,breakthrough
1456,breakup
1457,breast
1458,breasts
1459,breath
1460,breathe
1461,breathing
1462,bred
1463,breed
1464,breeding
1465,brian
1466,brick
1467,bricks
1468,bride
1469,bridge
1470,bridges
1471,brief
1472,briefly
1473,brien
1474,brigade
1475,bright
1476,brighter
1477,brilliant
1478,bring
1479,bringing
1480,brings
1481,bristol
1482,brit
1483,britain
1484,british
1485,britney
1486,britons
1487,broad
1488,broadband
1489,broadcast
1490,broadcaster
1491,broadcasters
1492,broadcasting
1493,broadcasts
1494,broader
1495,broadly
1496,broadway
1497,broke
1498,broken
1499,bronx
1500,bronze
1501,brooklyn
1502,brooks
1503,bros
1504,brother
1505,brotherhood
1506,brothers
1507,brought
1508,brown
1509,browser
1510,browsers
1511,browsing
1512,bruce
1513,bruno
1514,brush
1515,brussels
1516,brutal
1517,brutality
1518,bryan
1519,bryant
1520,bubble
1521,bubbles
1522,buchanan
1523,bud
1524,buddha
1525,buddhism
1526,buddhist
1527,buddhists
1528,buddy
1529,budget
1530,budgets
1531,buffalo
1532,buffer
1533,bug
1534,bugs
1535,build
1536,builder
1537,builders
1538,building
1539,buildings
1540,builds
1541,built
1542,bulb
1543,bulgaria
1544,bulgarian
1545,bulk
1546,bull
1547,bullet
1548,bullets
1549,bulls
1550,bullying
1551,bunch
1552,bundled
1553,bunny
1554,burden
1555,bureau
1556,bureaucracy
1557,burgeoning
1558,burial
1559,buried
1560,burke
1561,burma
1562,burn
1563,burned
1564,burning
1565,burns
1566,burnt
1567,burst
1568,bursts
1569,burton
1570,bury
1571,bus
1572,buses
1573,bush
1574,busiest
1575,business
1576,businesses
1577,businessman
1578,businessmen
1579,bust
1580,busy
1581,butler
1582,butter
1583,butterfly
1584,button
1585,buttons
1586,buy
1587,buyer
1588,buyers
1589,buying
1590,buys
1591,buzz
1592,bypass
1593,byzantine
1594,cab
1595,cabin
1596,cabinet
1597,cable
1598,cables
1599,caesar
1600,caf
1601,cafe
1602,cage
1603,cairo
1604,cake
1605,cakes
1606,calcium
1607,calculate
1608,calculated
1609,calculating
1610,calculation
1611,calculations
1612,calendar
1613,calf
1614,caliber
1615,california
1616,called
1617,calling
1618,calls
1619,calm
1620,calories
1621,calvin
1622,cam
1623,cambodia
1624,cambridge
1625,came
1626,cameo
1627,camera
1628,cameras
1629,cameron
1630,camp
1631,campaign
1632,campaigned
1633,campaigning
1634,campaigns
1635,campbell
1636,camps
1637,campus
1638,campuses
1639,canada
1640,canadian
1641,canadians
1642,canal
1643,canals
1644,cancel
1645,canceled
1646,cancellation
1647,cancelled
1648,cancer
1649,cancers
1650,candidacy
1651,candidate
1652,candidates
1653,candy
1654,cane
1655,cannabis
1656,canned
1657,cannes
1658,cannon
1659,canon
1660,canonical
1661,cans
1662,canterbury
1663,canyon
1664,cap
1665,capabilities
1666,capability
1667,capable
1668,capacities
1669,capacity
1670,cape
1671,capita
1672,capital
1673,capitalism
1674,capitalist
1675,capitals
1676,capitol
1677,capped
1678,caps
1679,captain
1680,captive
1681,captivity
1682,capture
1683,captured
1684,captures
1685,capturing
1686,car
1687,carbohydrate
1688,carbohydrates
1689,carbon
1690,card
1691,cardiac
1692,cardinal
1693,cardiovascular
1694,cards
1695,care
1696,cared
1697,career
1698,careers
1699,careful
1700,carefully
1701,carey
1702,cargo
1703,caribbean
1704,caring
1705,carl
1706,carlo
1707,carlos
1708,carnegie
1709,carnival
1710,carol
1711,carolina
1712,caroline
1713,carpenter
1714,carpet
1715,carr
1716,carriage
1717,carried
1718,carrier
1719,carriers
1720,carries
1721,carroll
1722,carry
1723,carrying
1724,cars
1725,carson
1726,carter
1727,cartoon
1728,cartoonist
1729,cartoons
1730,carved
1731,case
1732,cases
1733,casey
1734,cash
1735,casino
1736,casket
1737,caspian
1738,cast
1739,caste
1740,casting
1741,castle
1742,castro
1743,casts
1744,casual
1745,casualties
1746,casualty
1747,cat
1748,catalog
1749,catalogue
1750,catalyst
1751,catastrophe
1752,catastrophic
1753,catch
1754,catches
1755,catching
1756,categories
1757,categorized
1758,category
1759,cater
1760,cathedral
1761,catherine
1762,catholic
1763,catholicism
1764,catholics
1765,cats
1766,cattle
1767,caucasus
1768,caught
1769,causal
1770,cause
1771,caused
1772,causes
1773,causing
1774,caution
1775,cautious
1776,cavalry
1777,cave
1778,caves
1779,cavity
1780,cbs
1781,cds
1782,cease
1783,ceased
1784,ceasefire
1785,cecil
1786,ceded
1787,ceiling
1788,celebrate
1789,celebrated
1790,celebrates
1791,celebrating
1792,celebration
1793,celebrations
1794,celebrities
1795,celebrity
1796,celestial
1797,cell
1798,cells
1799,cellular
1800,celtic
1801,cement
1802,cemented
1803,cemetery
1804,censored
1805,censorship
1806,census
1807,cent
1808,centennial
1809,center
1810,centered
1811,centers
1812,central
1813,centralised
1814,centralized
1815,centrally
1816,centre
1817,centred
1818,centres
1819,centric
1820,cents
1821,centuries
1822,century
1823,ceo
1824,ceramics
1825,cereal
1826,cereals
1827,cerebral
1828,ceremonial
1829,ceremonies
1830,ceremony
1831,certain
1832,certainly
1833,certainty
1834,certificate
1835,certificates
1836,certification
1837,certified
1838,cervical
1839,cessation
1840,cgi
1841,chad
1842,chain
1843,chains
1844,chair
1845,chaired
1846,chairman
1847,chairs
1848,challenge
1849,challenged
1850,challenger
1851,challenges
1852,challenging
1853,chamber
1854,chamberlain
1855,chambers
1856,champion
1857,championed
1858,champions
1859,championship
1860,championships
1861,chan
1862,chance
1863,chancellor
1864,chances
1865,chandler
1866,change
1867,changed
1868,changes
1869,changing
1870,channel
1871,channels
1872,chaos
1873,chaotic
1874,chapel
1875,chapter
1876,chapters
1877,character
1878,characterised
1879,characteristic
1880,characteristics
1881,characterization
1882,characterize
1883,characterized
1884,characters
1885,charcoal
1886,charge
1887,charged
1888,charges
1889,charging
1890,charisma
1891,charismatic
1892,charitable
1893,charities
1894,charity
1895,charlemagne
1896,charles
1897,charleston
1898,charlie
1899,charlotte
1900,charm
1901,charming
1902,chart
1903,charted
1904,charter
1905,chartered
1906,charting
1907,charts
1908,chase
1909,chased
1910,chasing
1911,chat
1912,cheap
1913,cheaper
1914,cheating
1915,check
1916,checked
1917,checking
1918,checks
1919,cheek
1920,cheese
1921,chef
1922,chelsea
1923,chemical
1924,chemically
1925,chemicals
1926,chemist
1927,chemistry
1928,chemists
1929,chennai
1930,cherry
1931,chess
1932,chest
1933,chi
1934,chicago
1935,chicken
1936,chickens
1937,chief
1938,chiefly
1939,chiefs
1940,child
1941,childbirth
1942,childhood
1943,children
1944,chile
1945,chilean
1946,chili
1947,chin
1948,china
1949,chinese
1950,chip
1951,chips
1952,chloride
1953,chocolate
1954,choice
1955,choices
1956,choir
1957,cholera
1958,cholesterol
1959,choose
1960,chooses
1961,choosing
1962,chopra
1963,choreographer
1964,chorus
1965,chose
1966,chosen
1967,chris
1968,christ
1969,christian
1970,christianity
1971,christians
1972,christie
1973,christina
1974,christine
1975,christmas
1976,christopher
1977,chrome
1978,chromosome
1979,chromosomes
1980,chronic
1981,chronicle
1982,chronicles
1983,chronological
1984,chuck
1985,church
1986,churches
1987,churchill
1988,cia
1989,cigarette
1990,cigarettes
1991,cincinnati
1992,cinema
1993,cinemas
1994,cinematic
1995,circa
1996,circle
1997,circles
1998,circuit
1999,circuits
2000,circular
2001,circulated
2002,circulating
2003,circulation
2004,circumstances
2005,circus
2006,citation
2007,cite
2008,cited
2009,cites
2010,cities
2011,citing
2012,citizen
2013,citizens
2014,citizenship
2015,city
2016,civic
2017,civil
2018,civilian
2019,civilians
2020,civilization
2021,civilizations
2022,clad
2023,claim
2024,claimed
2025,claiming
2026,claims
2027,claire
2028,clan
2029,clandestine
2030,clans
2031,clara
2032,clarence
2033,clarified
2034,clarify
2035,clarity
2036,clark
2037,clarke
2038,clarkson
2039,clash
2040,clashed
2041,clashes
2042,class
2043,classed
2044,classes
2045,classic
2046,classical
2047,classically
2048,classics
2049,classification
2050,classifications
2051,classified
2052,classify
2053,classmate
2054,classmates
2055,classroom
2056,claude
2057,claudia
2058,clause
2059,clay
2060,clean
2061,cleaning
2062,clear
2063,clearance
2064,cleared
2065,clearing
2066,clearly
2067,clement
2068,clergy
2069,clerical
2070,clerk
2071,cleveland
2072,clever
2073,clich
2074,click
2075,client
2076,clients
2077,cliff
2078,cliffs
2079,climate
2080,climates
2081,climatic
2082,climax
2083,climb
2084,climbed
2085,climbing
2086,clinic
2087,clinical
2088,clinically
2089,clinics
2090,clint
2091,clinton
2092,clip
2093,clips
2094,clock
2095,close
2096,closed
2097,closely
2098,closer
2099,closest
2100,closet
2101,closing
2102,closure
2103,cloth
2104,clothes
2105,clothing
2106,cloud
2107,clouds
2108,club
2109,clubs
2110,clue
2111,clues
2112,cluster
2113,clusters
2114,cnn
2115,coach
2116,coaches
2117,coaching
2118,coal
2119,coalition
2120,coast
2121,coastal
2122,coastline
2123,coasts
2124,coat
2125,coated
2126,coats
2127,coca
2128,cocaine
2129,cocktail
2130,cocoa
2131,coconut
2132,code
2133,coded
2134,codes
2135,codice
2136,codified
2137,coding
2138,coefficient
2139,coffee
2140,coffin
2141,cognate
2142,cognition
2143,cognitive
2144,cohen
2145,coherent
2146,coin
2147,coincide
2148,coincided
2149,coincidence
2150,coincidentally
2151,coinciding
2152,coined
2153,coins
2154,coke
2155,col
2156,cola
2157,cold
2158,colder
2159,coldest
2160,cole
2161,coleman
2162,colin
2163,collaborate
2164,collaborated
2165,collaborating
2166,collaboration
2167,collaborations
2168,collaborative
2169,collaborator
2170,collaborators
2171,collapse
2172,collapsed
2173,collapsing
2174,collar
2175,colleague
2176,colleagues
2177,collect
2178,collected
2179,collecting
2180,collection
2181,collections
2182,collective
2183,collectively
2184,collector
2185,collectors
2186,collects
2187,college
2188,colleges
2189,collegiate
2190,collins
2191,collision
2192,collisions
2193,colloquial
2194,colloquially
2195,cologne
2196,colombia
2197,colombian
2198,colon
2199,colonel
2200,colonial
2201,colonialism
2202,colonies
2203,colonists
2204,colonization
2205,colony
2206,color
2207,colorado
